Series Name,Country Name,1990,2000,2013,2014,2015,2016,2017,2018,2019,2020
Total greenhouse gas emissions (kt of CO2 equivalent),Dominican Republic,15759.75316,27147.79163,33736.58828,34091.50908,36494.27567,37760.74806,37021.07534,39252.48133,39753.30481,37052.66519
Total greenhouse gas emissions (kt of CO2 equivalent),Ecuador,37539.07263,49011.80013,75080.53196,76784.74275,75114.76093,74097.77605,72729.71647,73972.27038,74113.4694,68056.47202
Total greenhouse gas emissions (kt of CO2 equivalent),"Egypt, Arab Rep.",138196.7387,187899.2888,304353.4118,310051.0097,316217.8249,327455.6758,337741.6636,331356.7922,307452.9495,299778.6515
Total greenhouse gas emissions (kt of CO2 equivalent),El Salvador,6857.134022,10116.5256,11477.78489,11777.42223,12218.54067,12171.42074,11280.12151,11641.82258,12495.49105,11063.80963
Total greenhouse gas emissions (kt of CO2 equivalent),Equatorial Guinea,179.349286,6704.651693,11739.98675,13756.70787,12673.56899,12361.18175,11334.9762,10907.31395,10292.5386,9542.961347
Total greenhouse gas emissions (kt of CO2 equivalent),Eritrea,3678.342635,5540.779701,5808.125444,5848.573954,5864.299964,5934.573265,5994.222366,6129.880168,6179.328169,6242.48957
Total greenhouse gas emissions (kt of CO2 equivalent),Estonia,39142.67466,18060.79141,22029.62753,20799.44491,17592.51222,18996.67903,19899.03282,18817.84752,13174.99211,10198.8019
Total greenhouse gas emissions (kt of CO2 equivalent),Eswatini,2831.398118,2737.111904,2754.543697,2783.518951,2803.297504,2895.568355,2897.502606,2924.752157,3052.193508,3000.932259
Total greenhouse gas emissions (kt of CO2 equivalent),Ethiopia,66869.2446,72193.42532,126731.6201,133087.9879,136449.738,142550.0688,145745.4962,148723.7191,159695.3463,167300.0199
Total greenhouse gas emissions (kt of CO2 equivalent),Fiji,1727.324622,1963.529304,2220.025068,1796.428168,1874.148768,1805.08636,1995.340253,2076.756546,2187.528938,1764.367631
Total greenhouse gas emissions (kt of CO2 equivalent),Finland,70363.50265,69643.62462,62745.61025,58686.81708,55210.20911,57902.35336,55043.07473,56199.93179,52762.97326,47740.49323
Total greenhouse gas emissions (kt of CO2 equivalent),France,496236.894,506377.7308,461319.7706,427859.1918,433262.6025,433665.791,436922.6199,422400.0351,412999.0434,376006.2454
Total greenhouse gas emissions (kt of CO2 equivalent),Gabon,12620.26561,16493.89658,15166.74369,15495.27609,15883.7891,16279.23307,14608.84924,14021.11591,15094.36318,14849.25845
Total greenhouse gas emissions (kt of CO2 equivalent),"Gambia, The",4274.708319,2289.008775,2042.643152,2180.820707,2404.624162,2296.791097,2344.612332,2214.207067,2391.425602,2453.329037
Total greenhouse gas emissions (kt of CO2 equivalent),Georgia,49720.01718,14245.23612,16151.1902,16805.07456,17142.29722,17540.62774,17482.17546,17135.15848,17843.006,17669.44862
Total greenhouse gas emissions (kt of CO2 equivalent),Germany,1129742.508,959124.8436,881582.6541,840763.1258,845437.6348,848445.002,831156.0109,802489.7991,751652.422,692750.7552
Total greenhouse gas emissions (kt of CO2 equivalent),Ghana,11517.41337,16827.71163,29002.19025,28547.03992,30251.44399,30665.08959,32492.6113,34130.8132,36070.4143,39070.28751
Total greenhouse gas emissions (kt of CO2 equivalent),Greece,95288.73758,117890.194,93348.14063,90264.07466,88528.37065,87235.49873,86847.33102,84139.55801,78649.7728,69283.30669
Total greenhouse gas emissions (kt of CO2 equivalent),Grenada,1843.497447,2058.992176,2316.624995,2263.595295,2293.205796,2308.384661,2328.911027,2372.204092,2408.607157,2397.288523
Total greenhouse gas emissions (kt of CO2 equivalent),Guatemala,11294.17401,18676.57226,26770.76379,27986.60793,30899.84197,32299.46827,31729.51546,33500.81336,34769.23985,33165.68015
Total greenhouse gas emissions (kt of CO2 equivalent),Guinea,8284.744216,11372.67365,21727.8728,22242.30182,22730.85844,25596.38581,26121.37339,26413.05756,28653.67333,29745.6922
Total greenhouse gas emissions (kt of CO2 equivalent),Guinea-Bissau,1407.375898,1536.101439,2247.081317,2244.292204,2375.320292,2362.479252,2381.442511,2488.83697,2514.69303,2546.519289
Total greenhouse gas emissions (kt of CO2 equivalent),Guyana,2291.315889,3246.38673,4087.595464,4300.879425,4437.684387,4470.524055,4616.558322,4768.25759,5069.396758,5282.035926
Total greenhouse gas emissions (kt of CO2 equivalent),Haiti,5331.60407,7322.144215,9307.168359,9726.1116,10087.15494,10332.15075,10312.34705,10194.95506,10321.15836,10267.23377
Total greenhouse gas emissions (kt of CO2 equivalent),Honduras,11334.65097,12537.80293,20637.24082,21060.37278,21850.19864,22037.22061,20955.29299,21043.05227,22120.91325,21147.29453
Total greenhouse gas emissions (kt of CO2 equivalent),Hungary,89525.12001,71353.1736,55683.30565,55974.26258,58909.76685,59654.94567,64674.46869,64259.82831,62093.73864,59596.52966
Total greenhouse gas emissions (kt of CO2 equivalent),Iceland,3347.741125,3379.409734,3200.271996,3260.884932,3310.731627,2843.253099,2896.350838,2918.513378,2848.394617,2653.430657
Total greenhouse gas emissions (kt of CO2 equivalent),India,1237962.799,1719664.722,2900894.985,3083573.891,3104049.558,3147642.844,3269577.732,3436071.569,3412419.303,3200820.626
Total greenhouse gas emissions (kt of CO2 equivalent),Indonesia,468362.6054,666121.1638,829244.3071,873788.9487,874598.9869,870044.0137,914633.3455,980509.8039,1020913.716,976487.6772
Total greenhouse gas emissions (kt of CO2 equivalent),"Iran, Islamic Rep.",320858.7007,515091.7748,786882.8685,812674.1389,812279.2427,849361.6076,878974.7647,891700.9915,856657.5668,844649.4679
Total greenhouse gas emissions (kt of CO2 equivalent),Iraq,103704.0345,139558.9167,214614.68,213140.503,220379.4837,239848.8803,255110.1837,268363.8209,285961.7366,261289.5283
Total greenhouse gas emissions (kt of CO2 equivalent),Ireland,56752.35957,71316.26098,61588.71639,61932.73433,63761.73336,66671.39759,65833.87287,63536.40425,61602.32693,59497.73471
Total greenhouse gas emissions (kt of CO2 equivalent),Israel,44103.52689,73843.96949,87043.01639,85194.99147,87305.97286,87087.25003,88636.37571,85002.89328,87191.31386,83664.06603
Total greenhouse gas emissions (kt of CO2 equivalent),Italy,483327.0481,517178.2688,421945.3474,402289.1041,413893.0962,409370.5756,404050.901,399052.2971,390001.3633,352128.8891
Total greenhouse gas emissions (kt of CO2 equivalent),Jamaica,8991.10227,11776.05935,8860.981507,8670.429722,8561.597238,9060.687417,8764.789197,10165.89958,10009.78586,7432.636336
Total greenhouse gas emissions (kt of CO2 equivalent),Japan,1181858.796,1278174.014,1352163.653,1305365.322,1268751.648,1258297.359,1241560.823,1198175.185,1157544.668,1094556.256
Total greenhouse gas emissions (kt of CO2 equivalent),Jordan,18609.45169,20836.4549,32285.36098,34457.96826,34860.89684,35007.8348,36766.92085,35966.76761,34899.00556,33146.35261
Total greenhouse gas emissions (kt of CO2 equivalent),Kazakhstan,298754.678,162133.7495,335321.5973,286216.0566,267016.6944,276330.7622,299615.3021,299700.6771,286967.6223,294805.9457
Total greenhouse gas emissions (kt of CO2 equivalent),Kenya,35102.28384,35347.18812,61498.93917,64589.02561,66551.27366,71983.95568,69774.597,70817.67523,78594.30095,80188.01667
Total greenhouse gas emissions (kt of CO2 equivalent),Kiribati,40.071883,55.101068,90.342436,87.340126,88.522816,85.354927,102.097438,103.357249,104.45706,88.571671
Total greenhouse gas emissions (kt of CO2 equivalent),"Korea, Dem. People's Rep.",154776.867,87411.18898,50080.81999,53733.95686,47459.54444,50975.94013,77903.97402,74192.7318,79306.40199,76079.90868
Total greenhouse gas emissions (kt of CO2 equivalent),"Korea, Rep.",280644.328,502291.3249,672869.5503,662402.3129,683376.3225,693722.7469,707446.3487,714466.5463,699175.6839,659329.6994
Total greenhouse gas emissions (kt of CO2 equivalent),Kuwait,39339.36468,70128.98759,122083.3087,121302.6476,125805.1357,131400.6888,130517.5087,134809.5027,137496.5792,135896.7903
Total greenhouse gas emissions (kt of CO2 equivalent),Kyrgyz Republic,32425.55016,9463.893925,15636.96519,16274.42821,16613.28524,16168.27247,15986.0521,18119.54822,16932.27455,16093.54198
Total greenhouse gas emissions (kt of CO2 equivalent),Lao PDR,6798.521481,7964.474717,14053.02819,14395.87406,19257.13492,26546.74763,29814.15084,30205.46266,29982.98087,30491.44478
Total greenhouse gas emissions (kt of CO2 equivalent),Latvia,25763.45465,10908.84958,11940.18079,11884.57289,11928.83139,11764.31672,11701.90069,12237.61476,12086.47033,11436.59559
Total greenhouse gas emissions (kt of CO2 equivalent),Lebanon,7272.535427,18914.12517,28548.95469,30738.15285,32882.9577,33992.81229,35779.79728,34289.86847,34132.38906,28947.43775
Total greenhouse gas emissions (kt of CO2 equivalent),Lesotho,2968.466485,3640.151058,3920.397077,4047.125728,3835.802779,3792.343497,4227.946916,3952.152334,3846.161753,4013.753971
Total greenhouse gas emissions (kt of CO2 equivalent),Liberia,842.896991,827.85035,1640.048137,2026.934224,2214.130412,2252.354607,2130.949002,2015.124597,2142.257192,2155.394887
Total greenhouse gas emissions (kt of CO2 equivalent),Libya,80127.40463,102689.1765,108118.018,92388.51843,82792.48703,79813.73022,100218.2488,109310.5031,114301.1899,75370.28088
Total greenhouse gas emissions (kt of CO2 equivalent),Liechtenstein,201.879109,224.439149,207.025486,175.416468,173.718315,163.829719,170.153986,157.72812,164.196559,157.560064
Total greenhouse gas emissions (kt of CO2 equivalent),Lithuania,46012.59207,20400.98797,19812.43774,19359.6328,19619.97824,19644.71503,19565.53059,19652.27895,19779.96072,19784.73208
Total greenhouse gas emissions (kt of CO2 equivalent),Luxembourg,12192.61792,9437.068241,11156.60756,10634.67368,10124.50943,9839.11791,10011.86329,10311.59007,10494.95324,8813.977022
Total greenhouse gas emissions (kt of CO2 equivalent),Madagascar,25036.83837,25877.2261,27451.09288,27686.75302,27759.67667,29175.3846,28081.75803,29200.57375,30834.39778,30566.42841
Total greenhouse gas emissions (kt of CO2 equivalent),Malawi,3264.095627,3963.605916,7294.602924,7791.483427,8204.93103,8444.877316,9125.424201,10530.26139,11765.31867,11982.42756
Total greenhouse gas emissions (kt of CO2 equivalent),Malaysia,79483.01156,158087.7799,275412.5439,290459.5458,291460.2253,287585.9629,281063.6498,297793.9565,302134.912,302088.6631
Total greenhouse gas emissions (kt of CO2 equivalent),Maldives,202.690508,553.200282,1367.638143,1618.802881,1627.844418,1805.517341,1936.164464,2216.909588,2490.697111,1994.511834
Total greenhouse gas emissions (kt of CO2 equivalent),Mali,15402.27391,20910.12504,32019.92826,33161.45031,34417.05827,37815.98223,38485.66359,39735.21105,41162.2077,43491.51296
Total greenhouse gas emissions (kt of CO2 equivalent),Malta,2527.656934,2413.159153,2826.247911,2837.453533,2158.905823,1874.91518,2027.25402,2047.36036,2141.341401,2082.169141
Total greenhouse gas emissions (kt of CO2 equivalent),Marshall Islands,25.086394,134.757437,181.38278,184.429795,187.87681,190.746081,196.215351,200.684622,204.553892,164.923162
Total greenhouse gas emissions (kt of CO2 equivalent),Mauritania,6580.528913,8953.202407,11351.8425,11945.84326,12623.02171,12257.44049,13221.27666,13589.51153,13997.3509,14056.36818
Total greenhouse gas emissions (kt of CO2 equivalent),Mauritius,2304.87263,4312.263738,6123.672062,6329.03096,6375.657959,6526.771728,6725.636996,6740.285765,6846.455334,6435.739403
Total greenhouse gas emissions (kt of CO2 equivalent),Mexico,409784.5411,539609.133,663759.5724,659021.4495,674268.1244,682791.4067,679728.327,651037.0505,659740.4104,592321.1717
Total greenhouse gas emissions (kt of CO2 equivalent),"Micronesia, Fed. Sts.",7.616981,251.752739,214.206043,217.371273,222.702404,226.838412,227.10162,230.025528,232.848437,194.111345
Total greenhouse gas emissions (kt of CO2 equivalent),Moldova,38140.30415,11426.03223,11703.89774,12325.28536,12561.44277,12777.28434,12762.92852,13307.76689,13451.76146,12985.65753
Total greenhouse gas emissions (kt of CO2 equivalent),Mongolia,30683.80087,30534.77515,42281.39185,44820.09828,46229.34141,48596.96653,51464.86134,53370.23536,56965.22748,53921.45499
Total greenhouse gas emissions (kt of CO2 equivalent),Montenegro,4487.55672,4015.137159,3615.660027,3516.706455,3617.484583,3404.286871,3525.503759,3740.763147,3832.010535,3764.437423
Total greenhouse gas emissions (kt of CO2 equivalent),Morocco,36790.4989,49443.00674,77993.70826,79184.64053,81360.9103,80137.99096,84413.58902,85788.26699,92532.30265,88027.79761
Total greenhouse gas emissions (kt of CO2 equivalent),Mozambique,18384.20243,20048.66142,30220.90592,31336.78684,30962.91206,31812.58521,32115.43737,34533.02892,34717.30227,33749.36732
Total greenhouse gas emissions (kt of CO2 equivalent),Myanmar,54226.40894,72065.1732,95306.01103,100795.3804,104222.8504,108641.1932,124412.8191,126490.1209,129006.2203,128949.3985
Total greenhouse gas emissions (kt of CO2 equivalent),Nauru,130.235058,92.583658,52.39139,55.753786,59.716183,58.049099,61.494515,59.627431,59.162847,47.328063
Total greenhouse gas emissions (kt of CO2 equivalent),Nepal,21188.03518,26541.08889,34650.88974,36095.41084,36045.56905,39891.57805,43035.48884,45363.09484,44489.74544,45868.55644
Total greenhouse gas emissions (kt of CO2 equivalent),Netherlands,205817.5754,206297.6914,185684.4457,178496.49,186745.193,187630.899,183624.9553,177770.9977,172216.6275,155912.4883
Total greenhouse gas emissions (kt of CO2 equivalent),New Zealand,71127.95079,77211.86374,82181.45126,82810.63762,82190.23208,80796.86373,82414.82108,81806.76913,83180.27228,80158.02583
Total greenhouse gas emissions (kt of CO2 equivalent),Nicaragua,9508.018498,12237.58212,16344.61021,17267.95178,18256.21155,18544.33805,18401.06355,18268.13765,18598.08645,18448.51145
Total greenhouse gas emissions (kt of CO2 equivalent),Niger,12825.53035,19006.03069,32934.47349,34640.59799,35844.07658,37526.32325,38958.44011,40817.76548,42749.68305,44795.82741
Total greenhouse gas emissions (kt of CO2 equivalent),Nigeria,233668.5778,256054.6234,296354.0768,306117.3401,299724.3287,307195.0662,311186.0027,320860.8254,332247.0358,322336.5011
Total greenhouse gas emissions (kt of CO2 equivalent),North Macedonia,13899.89975,11473.43576,10792.046,10416.16744,10151.01668,10028.79318,10526.33717,10011.07466,10891.85905,9768.859944
Total greenhouse gas emissions (kt of CO2 equivalent),Norway,46087.62826,47470.80042,49358.48472,49413.87239,50089.67668,49555.44922,49218.35839,48529.45976,47609.66673,46116.8172
Total greenhouse gas emissions (kt of CO2 equivalent),Oman,20177.7082,39434.53923,83498.28364,87083.04609,91493.13854,94831.77524,94109.56444,99261.03454,99951.67634,95082.40834
Total greenhouse gas emissions (kt of CO2 equivalent),Pakistan,160495.1617,233585.3354,347984.2431,361321.5768,375636.6688,400203.7366,426734.3012,422019.6189,427522.6496,436608.9225
Total greenhouse gas emissions (kt of CO2 equivalent),Palau,12.622286,228.478731,245.184949,242.925179,227.065409,236.350104,243.734798,244.919492,252.704186,195.78888
Total greenhouse gas emissions (kt of CO2 equivalent),Panama,7768.88704,9922.767248,17164.5288,17600.29831,17486.64482,17681.07532,17283.27162,17297.37902,20588.87322,17231.02452
Total greenhouse gas emissions (kt of CO2 equivalent),Papua New Guinea,6317.489165,11297.16754,15850.71888,17504.08296,19094.40193,19066.40777,19157.78881,20064.63485,20327.16169,18397.91713
Total greenhouse gas emissions (kt of CO2 equivalent),Paraguay,32392.98337,30409.20902,43946.28825,46010.29691,46437.31596,47413.73092,49749.92728,48376.14553,49371.36829,50784.02825
Total greenhouse gas emissions (kt of CO2 equivalent),Peru,44386.14919,62721.2921,91156.36111,94868.22585,96579.81659,99281.9726,97009.7592,97101.62001,100394.9369,89865.35382
Total greenhouse gas emissions (kt of CO2 equivalent),Philippines,95359.11071,138556.8307,176101.2119,183726.7873,192590.656,204105.5615,221322.0186,227857.6762,235302.3833,224971.7625
